,biomass,glucose,biomass yield,min enzyme cost,enzyme efficiency
1.0,0.08953651629393618,1.0,0.4974250905218677,0.03781984309223315,2.3674481164710013
1.5,0.13430477444090436,1.5,0.49742509052186795,0.05672976463839409,2.367448116469151
2.0,0.17907303258787236,2.0,0.4974250905218677,0.0756396861844663,2.3674481164710013
2.5,0.2238412907348406,2.5,0.49742509052186806,0.0945496077307155,2.367448116467682
3.0,0.2686095488818087,3.0,0.49742509052186795,0.11345952927678818,2.367448116469151
3.5,0.3133778070287766,3.5,0.4974250905218676,0.1323694508191199,2.3674481165371066
4.0,0.35814606517574515,4.0,0.4974250905218683,0.15127937236648145,2.3674481165093635
4.5,0.4029143233227133,4.5,0.49742509052186834,0.17018929391468032,2.3674481164761354
5.0,0.4476825814696815,5.0,0.49742509052186834,0.18909921546343292,2.3674481164426204
5.5,0.4924508396166487,5.5,0.4974250905218674,0.20800913700651735,2.3674481164797063
6.0,0.5372189476130115,6.0,0.4974249514935291,0.22667943772611138,2.3699500625288907
6.5,0.5701327666716678,6.5,0.48729296296723745,0.22699999999997497,2.5115980910648927
7.0,0.5910301311868293,7.0,0.4690715326879598,0.22699999999997036,2.6036569655810857
7.5,0.6115039500293179,7.5,0.4529658889106059,0.22700000000002363,2.693850000128873
8.0,0.631457083575548,8.0,0.4385118635941306,0.22700000000001458,2.7817492668524557
8.5,0.6514102171217804,8.5,0.4257583118443009,0.22700000000001586,2.8696485335759245
9.0,0.6713633506680171,9.0,0.4144218214000106,0.22700000000002,2.9575478002993743
9.5,0.6913164842142377,9.5,0.4042786457393203,0.2269999999999485,3.045447067023765
10.0,0.70371796480276,10.0,0.3909544248904223,0.22700000000001208,3.1000791401000996
