substrate,EXP,ECMpy_flux,iML1515_flux,GECKO_subunit_flux,sMOMENT_subunit_flux
<b>N-Acetyl-D-glucosamine<b>,0.61,0.6183041380378373,1.1219896013500685,0.21528198641752827,0.21502837208888323
<b>Acetate<b>,0.29,0.20881821974883696,0.2088182197488368,0.13275494606437777,0.1327549489588583
<b>2-Oxoglutarate<b>,0.24,0.4729139359137169,0.5432031474937065,0.18890386242448684,0.18890386792548
<b>L-Alanine<b>,0.24,0.34747717019281804,0.3777042709476027,0.16098601706208382,0.16098602090929637
<b>Fructose<b>,0.54,0.6765561551013368,0.869772642032007,0.2018857495742987,0.2018857556165681
<b>Fumarate<b>,0.47,0.39487620589364675,0.4085813327071342,0.19917306312483532,0.19917306837570592
<b>Glucose 6-phosphate<b>,0.78,0.6932706765886291,0.8977528033738674,0.2754493842541886,0.27544939256712603
<b>Galactose<b>,0.24,0.5748457346880985,0.8604459215847259,0.20894065807245987,0.20894066437747344
<b>Glucosamine<b>,0.4,0.6528843575099224,0.8700793495834093,0.19737313620758976,0.19737314218248095
<b>Gluconate<b>,0.68,0.6259076517247547,0.7921699830195357,0.20572163089170073,0.20572163705458751
<b>Glucose<b>,0.66,0.6802441208853752,0.8697726420320119,0.22345691157798298,0.22345691830439982
<b>Glycerol<b>,0.47,0.42788137187445086,0.4916308560788631,0.22728378734409072,0.22728379408823032
<b>Guanosine<b>,0.37,0.47480343569147077,1.0295285882077256,0.26674462203805566,0.2667446304107647
<b>L-Lactate<b>,0.41,0.3471028187123381,0.3471028187123409,0.16828505886913903,0.16828506277673994
<b>Maltose<b>,0.52,0.6023258327084242,1.765137804971374,0.1476275607602308,0.1476275642530675
<b>L-Malate<b>,0.55,0.40857778085429436,0.40858133270713726,0.19238368158099797,0.19238368670652872
<b>Mannose<b>,0.35,0.6522769462577436,0.8697726420320158,0.19999730492141507,0.19999731085166478
<b>Mannitol<b>,0.61,0.6565697932885721,0.935059685163005,0.22042513213856502,0.22042513934519603
<b>Pyruvate<b>,0.41,0.31173468964036705,0.3117346896403674,0.1521648512344423,0.1521648547186857
<b>Ribose<b>,0.41,0.5384672001159106,0.6832382330863088,0.17121015592294617,0.17121016055354943
<b>Sorbitol<b>,0.48,0.5496738705340622,0.9350596851630154,0.21751997966707703,0.21751998670900247
<b>Succinate<b>,0.5,0.42578509005103315,0.4472580964999406,0.19520965782543453,0.1952096635018134
<b>Trehalose<b>,0.48,0.6723422383444095,1.7651378049749438,0.24539280549817036,0.24539281423171305
<b>Xylose<b>,0.51,0.37850719458507603,0.7112183944281703,0.1774651511358504,0.17746515607475846
