,pfba_flux,sub_flux
EX_acgam_e,0.752470574701726,-10.986211338043748
EX_ac_e,0.26779246606622925,-13.352932559562317
EX_akg_e,0.4062018358480816,-8.831547817864534
EX_ala__L_e,0.5506026363472578,-23.109961174070815
EX_fru_e,0.7814132483272921,-11.650795186674106
EX_fum_e,0.6992775521584942,-27.89135187223185
EX_g6p_e,0.7856154114355157,-10.962642439437843
EX_gal_e,0.6436131416026782,-10.950443289230012
EX_gam_e,0.7806563012469933,-11.633407594188885
EX_glcn_e,0.7199822513752994,-11.547683585910015
EX_glc__D_e,0.7637847584650718,-11.667188584422082
EX_glyc_e,0.41928389841496416,-9.901888160677663
EX_gsn_e,0.3674194879569267,-5.578057638486387
EX_lac__L_e,0.5714645617160183,-30.287587073240534
EX_malt_e,0.6835510900893074,-5.37934821438351
EX_mal__L_e,0.7043478413304198,-28.0836371561362
EX_man_e,0.7625443293087458,-11.384520501323049
EX_mnl_e,0.8032753955138227,-10.31783586511061
EX_pyr_e,0.6267204159743334,-45.05354008162682
EX_rib__D_e,0.6710703557627551,-13.59538191094209
EX_sbt__D_e,0.7665422449636827,-9.87061347454723
EX_succ_e,0.5959660996915412,-19.104269844679198
EX_tre_e,0.7602679479140138,-5.8082029266164135
EX_xyl__D_e,0.3874131452255602,-7.185641154956949
