,biomass,acetate,O2,CO2,glucose
1,0.06384218390160999,0.0,3.2433311126209583,3.3795716418317663,1.0
2,0.15348051168052212,0.0,5.3727995267084925,5.700330084985213,2.0
3,0.24301702797445826,0.0,7.506664102328362,8.025267421874908,3.0
4,0.3325535442683944,0.0,9.640528677948266,10.350204758764646,4.0
5,0.42209006056233117,0.0,11.774393253568277,12.675142095654536,5.0
6,0.511566660912276,0.0,13.910844965288018,15.002538706791391,6.0
7,0.5593677453291102,1.5773422154637613,14.690884139413876,15.884586374984966,7.0
8,0.6007147225778688,3.5620910844862546,14.935955019029882,16.21789255166284,8.0
9,0.640620989670344,5.63338661458099,15.070144841993253,16.43724316668004,9.0
10,0.6802441208853752,7.7115796251941235,15.202765982953803,16.654420881927667,10.0
