id,name,reaction_eq,gene_reaction_rule,Modified genes ,Modify reason,Reference,lower_bound,upper_bound
FMNRx2,FMN reductase,fmn_c + h_c + nadph_c --> fmnh2_c + nadp_c,b0937 or b3844 or ( b2764 and b2763 ),b0937 or b3844 or b2764,"CysIJ (b2763 and b2764) are the subunit of sulfite reductase, not for this reaction",Siegel et al. 1982,0,1000
ARGabcpp,L-arginine transport via ABC system (periplasm),arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,( b2310 and b2308 and b2306 and b2307 ) or ( b0862 and b0860 and b0864 and b0863 and b0861 ),( b2310 and b2308 and b2306 and b2307 ) or ( b0862 and b0860 and b0864 and b0861 ) or ( b0862 and b0864 and b0863 and b0861 ),ArtI (b0863) is  similar to the ArtJ (b0860) arginine binding periplasmic protein of E. coli.,Wissenbach et al. 1995,0,1000
ECAP1pp,Enterobacterial common antigen polymerase (periplasm),2.0 unagamuf_p --> eca2und_p + h_p + udcpdp_p,b3785 and b3793,b3785 and b3793 and b3792,"WzxE (b3792) is a ""flippase"" responsible for movement of lipid III across the membrane bilayer",Rick et al. 2003,0,1000
ECAP2pp,Enterobacterial common antigen polymerase (periplasm),eca2und_p + unagamuf_p --> eca3und_p + h_p + udcpdp_p,b3785 and b3793,b3785 and b3793 and b3792,"WzxE (b3792) is a ""flippase"" responsible for movement of lipid III across the membrane bilayer",Rick et al. 2003,0,1000
FADRx2,FAD reductase,fad_c + h_c + nadph_c --> fadh2_c + nadp_c,b2764 and b2763,b2764,"CysIJ (b2763 and b2764) are the subunit of sulfite reductase, not for this reaction",Siegel et al. 1982,0,1000
ECAP3pp,Enterobacterial common antigen polymerase (periplasm),eca3und_p + unagamuf_p --> eca4und_p + h_p + udcpdp_p,b3785 and b3793,b3785 and b3793 and b3792,"WzxE (b3792) is a ""flippase"" responsible for movement of lipid III across the membrane bilayer",Rick et al. 2003,0,1000
BWCOGDS1,Tungsten bispterin guanine dinucleotide synthase (single GDP),bwco_c + gtp_c + h_c --> bwco1gdp_c + ppi_c,( b3857 and b3856 ) or b3857,b3857,"MobB (b3856) is only an adaptor protein, not a enzyme",Palmer et al. 1996,0,1000
BWCOGDS2,Tungsten bispterin guanine dinucleotide synthase,bwco1gdp_c + gtp_c + h_c --> bwcogdp_c + ppi_c,( b3857 and b3856 ) or b3857,b3857,"MobB (b3856) is only an adaptor protein, not a enzyme",Palmer et al. 1996,0,1000
THZPSN3,Thiazole phosphate synthesis,atp_c + dhgly_c + dxyl5p_c + h_c + iscssh_c + nadph_c --> 4mpetz_c + amp_c + co2_c + 2.0 h2o_c + iscs_c + nadp_c + ppi_c,b3992 and b3990 and b0423 and b2530 and b4407,b3992 and b3990 and b0423 and b2530 and b4407 and b3991,ThiG (b3991) participates in the synthesis of the thiazole moiety of thiamine,Vander Horn et al. 1993,0,1000
BMOGDS1,Bis-molybdopterin guanine dinucleotide synthase (single GDP),bmoco_c + gtp_c + h_c --> bmoco1gdp_c + ppi_c,b3857 or ( b3857 and b3856 ),b3857,"MobB (b3856) is only an adaptor protein, not a enzyme",Palmer et al. 1996,0,1000
BMOGDS2,Bis-molybdopterin guanine dinucleotide synthase,bmoco1gdp_c + gtp_c + h_c --> bmocogdp_c + ppi_c,( b3857 and b3856 ) or b3857,b3857,"MobB (b3856) is only an adaptor protein, not a enzyme",Palmer et al. 1996,0,1000
MOGDS,Molybdopterin guanine dinucleotide synthase,gtp_c + h_c + moco_c --> mocogdp_c + ppi_c,( b3857 and b3856 ) or b3857,b3857,"MobB (b3856) is only an adaptor protein, not a enzyme",Palmer et al. 1996,0,1000
3NTD4pp,3'-nucleotidase (CMP) (periplasm),3cmp_p + h2o_p --> cytd_p + pi_p,b0383 or b4213 or b0383,b0383 or b4213 or b2744,repeat,,,
GLUDy,Glutamate dehydrogenase (NADP),glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c,b1761 or ( b3213 and b3212 ),b1761,,,,
